customer_id,instore_yn,product_id,quantity,line_item_amount,unit_price,promo_item_yn
5658,Y,22,2,4,2,N
5163,Y,30,2,6,3,N
5197,N,22,1,2,2,N
5247,Y,22,2,4,2,N
5333,N,37,1,3,3,N
5465,Y,32,2,6,3,N
5923,N,46,1,2.5,2.5,N
5627,N,22,1,2,2,N
5340,N,59,2,9,4.5,N
5806,Y,61,1,4.75,4.75,N
5895,Y,57,2,6.2,3.1,N
5583,N,49,1,3,3,N
5073,Y,61,2,9.5,4.75,N
5050,N,45,1,3,3,N
5412,N,59,2,9,4.5,N
5376,N,34,1,2.45,2.45,N
5224,N,44,1,2.5,2.5,N
5439,Y,39,1,4.25,4.25,N
5439,Y,77,1,3,3,N
5720,N,54,2,5,2.5,N
5676,Y,22,1,2,2,N
5907,Y,50,2,5,2.5,N
5921,Y,54,2,5,2.5,N
5479,N,57,2,6.2,3.1,N
5479,N,77,1,3,3,N
5162,Y,40,1,3.75,3.75,N
5514,N,53,1,3,3,N
5743,Y,56,2,5.1,2.55,N
5743,Y,74,1,3.5,3.5,N
5164,Y,47,2,6,3,N
5543,Y,22,1,2,2,N
5178,N,27,2,7,3.5,N
5635,Y,53,2,6,3,N
5672,N,32,1,3,3,N
5672,N,71,1,3.75,3.75,N
5630,Y,61,2,9.5,4.75,N
5195,N,28,2,4,2,N
5231,Y,39,1,4.25,4.25,N
5489,Y,58,2,7,3.5,N
5227,Y,34,2,4.9,2.45,N
5115,N,22,1,2,2,N
5373,N,56,1,2.55,2.55,N
5162,N,33,2,7,3.5,N
5394,N,51,1,3,3,N
5291,Y,24,2,6,3,N
5291,Y,72,1,3.25,3.25,N
5508,N,47,2,6,3,N
5278,N,58,2,7,3.5,N
5491,N,57,1,3.1,3.1,N
5593,N,50,2,5,2.5,N
5647,N,25,2,4.4,2.2,N
5020,N,34,2,4.9,2.45,N
5180,Y,87,2,6,3,N
5732,Y,26,1,3,3,N
5184,Y,25,1,2.2,2.2,N
5656,N,41,2,8.5,4.25,N
5477,Y,47,2,6,3,N
5477,Y,79,1,3.75,3.75,N
8480,Y,42,1,2.5,2.5,N
5136,N,36,1,3.75,3.75,N
5136,N,77,1,3,3,N
8353,Y,45,1,3,3,N
8392,N,59,2,9,4.5,N
5361,N,55,2,8,4,N
5181,Y,37,2,6,3,N
5181,Y,79,1,3.75,3.75,N
5929,Y,23,1,2.5,2.5,N
5651,Y,45,1,3,3,N
5013,N,41,1,4.25,4.25,N
5013,N,74,1,3.5,3.5,N
5873,Y,43,1,3,3,N
5676,Y,31,1,2.2,2.2,N
8293,Y,61,1,4.75,4.75,N
8291,Y,47,1,3,3,N
5388,Y,54,2,5,2.5,N
5765,N,37,2,6,3,N
8326,Y,28,1,2,2,N
8483,N,33,2,7,3.5,N
8318,N,53,2,6,3,N
8170,Y,24,1,3,3,N
5735,N,51,1,3,3,N
8042,N,58,1,3.5,3.5,N
8050,Y,40,2,7.5,3.75,N
8411,N,26,1,3,3,N
5290,N,56,2,5.1,2.55,N
5290,N,69,1,3.25,3.25,N
5305,Y,44,1,2.5,2.5,N
8126,Y,87,2,6,3,N
8413,Y,30,2,6,3,N
8057,Y,44,1,2.5,2.5,N
8057,Y,74,1,3.5,3.5,N
8023,N,56,1,2.55,2.55,N
5577,N,32,2,6,3,N
5398,Y,47,1,3,3,N
8003,N,40,1,3.75,3.75,N
8397,N,57,1,3.1,3.1,N
8443,Y,61,2,9.5,4.75,N
8180,N,61,1,4.75,4.75,N
8086,Y,61,2,9.5,4.75,N
5691,Y,43,1,3,3,N
5691,Y,76,1,3.5,3.5,N
8373,Y,30,2,6,3,N
8373,Y,74,1,3.5,3.5,N
5401,Y,45,2,6,3,N
5401,Y,71,1,3.75,3.75,N
8168,N,22,2,4,2,N
5680,N,70,1,3.25,3.25,N
5680,N,87,1,3,3,N
5601,Y,54,2,5,2.5,N
5607,N,41,2,8.5,4.25,N
8397,N,39,1,4.25,4.25,N
